GEOID,white_amin_asian_pop_20,white_amin_asian_other_pop_20,amin_asian_nhpi_pop_20,white_black_asian_nhpi_other_pop_20,amin_asian_pop_20,amin_asian_other_pop_20,white_amin_nhpi_pop_20,white_amin_asian_nhpi_other_pop_20,white_amin_nhpi_other_pop_20,white_amin_other_pop_20,amin_nhpi_pop_20,white_asian_nhpi_other_pop_20,amin_nhpi_other_pop_20,black_amin_asian_nhpi_other_pop_20,amin_other_pop_20,two_races_pop_20,asian_nhpi_other_pop_20,white_asian_nhpi_pop_20,black_amin_asian_nhpi_pop_20,white_black_pop_20,white_asian_other_pop_20,asian_nhpi_pop_20,black_amin_asian_other_pop_20,four_races_pop_20,asian_other_pop_20,white_amin_pop_20,white_black_amin_asian_pop_20,white_nhpi_other_pop_20,white_asian_pop_20,total_pop_20,black_amin_asian_pop_20,nhpi_other_pop_20,white_black_amin_nhpi_pop_20,one_race_pop_20,three_races_pop_20,white_nhpi_pop_20,black_amin_nhpi_pop_20,six_races_pop_20,white_black_amin_asian_nhpi_other_pop_20,black_amin_nhpi_other_pop_20,black_asian_nhpi_other_pop_20,five_races_pop_20,amin_asian_nhpi_other_pop_20,white_black_amin_other_pop_20,white_black_amin_asian_nhpi_pop_20,white_black_asian_other_pop_20,white_black_asian_nhpi_pop_20,white_black_nhpi_other_pop_20,black_asian_other_pop_20,white_black_amin_asian_other_pop_20,black_asian_nhpi_pop_20,black_nhpi_other_pop_20,white_black_other_pop_20,white_black_amin_nhpi_other_pop_20,white_amin_asian_nhpi_pop_20,white_other_pop_20,white_pop_20,black_amin_other_pop_20,white_black_amin_pop_20,black_pop_20,white_black_asian_pop_20,black_amin_pop_20,black_asian_pop_20,amin_pop_20,white_black_nhpi_pop_20,asian_pop_20,black_nhpi_pop_20,black_other_pop_20,nhpi_pop_20,other_pop_20,two_or_more_races_pop_20
13043,3,0,0,0,0,0,3,0,0,10,2,0,0,0,2,567,0,0,0,74,6,0,0,7,9,111,0,0,5,10981,0,0,1,10372,35,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,345,6768,4,8,2695,0,5,0,30,0,65,0,13,3,811,609
13045,15,6,0,0,0,0,1,0,0,87,0,0,0,0,43,7418,0,4,0,1847,9,9,0,32,19,1925,7,8,386,119148,0,9,3,111334,361,35,0,0,0,0,0,3,0,7,0,0,0,0,3,0,9,0,44,3,9,2757,82566,0,147,22126,27,110,50,520,7,1121,5,223,23,4978,7814
13047,0,1,2,0,7,3,11,0,0,24,1,0,0,1,10,3716,0,11,0,658,14,8,0,11,0,1651,1,0,225,67872,0,0,2,64020,121,28,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,12,0,7,1065,59903,0,32,1858,4,18,10,244,8,1035,0,35,85,895,3852
13049,0,0,1,0,5,0,0,0,0,5,0,1,0,0,4,401,0,3,0,105,0,0,0,11,0,143,4,0,20,12518,0,0,0,12070,35,4,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,3,0,0,91,8745,0,7,2627,14,19,6,47,2,116,0,4,2,533,448
13051,75,4,1,0,18,0,5,0,0,169,4,0,0,0,139,16941,0,56,5,3493,53,70,0,110,51,2563,31,0,1822,295291,10,12,2,277057,1175,143,0,0,0,0,7,8,1,52,7,1,7,0,1,1,10,2,177,0,0,6903,143891,40,414,109313,140,635,293,1079,22,10709,56,739,456,11609,18234
13053,5,1,0,2,4,0,0,0,0,11,0,0,0,0,0,943,0,26,0,142,2,22,2,13,1,133,0,0,129,9565,1,3,0,8525,82,11,4,0,0,0,1,2,0,7,0,2,0,0,0,0,0,0,5,0,0,378,5965,0,28,1511,0,23,14,46,0,306,4,79,111,586,1040
13055,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,1135,0,0,0,399,3,0,0,11,0,420,5,0,16,24965,0,9,1,23761,54,2,4,0,0,0,0,4,0,5,3,0,0,0,2,1,0,0,5,0,0,272,20293,0,15,2408,0,7,4,98,0,102,2,4,0,860,1204
13057,117,4,0,1,18,0,6,4,0,259,6,0,1,1,223,23512,0,47,0,2471,76,34,1,70,80,4442,14,0,1993,266620,1,24,1,242028,1000,106,0,0,0,3,0,10,0,35,1,7,5,0,0,3,3,1,148,0,0,13250,204670,14,236,17785,86,201,152,1343,5,5497,9,503,117,12616,24592
13059,10,0,0,0,8,0,5,1,2,81,5,0,2,0,57,8247,0,18,0,1284,4,19,2,40,32,1084,6,0,1024,128671,1,8,0,120054,320,63,0,6,6,0,0,4,0,21,0,0,0,3,2,3,0,0,48,0,6,4176,74925,2,95,31660,52,200,67,580,0,4954,7,213,86,7849,8617
13061,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,68,0,0,0,19,2,3,0,10,1,13,5,1,5,2848,0,1,0,2763,6,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,13,1151,0,3,1597,0,4,0,1,0,6,1,1,0,8,85
13063,16,0,0,0,31,0,1,0,2,176,12,0,0,0,390,15671,0,13,0,3223,10,38,0,147,102,838,67,0,284,297595,15,33,2,280614,1160,30,0,0,0,0,0,3,0,66,1,3,5,1,13,2,17,4,204,0,1,6634,30505,21,547,207981,111,1176,614,1991,12,13640,91,2175,178,26319,16981
13065,0,3,0,0,3,3,0,0,3,0,0,0,0,0,3,233,0,9,0,94,0,4,0,8,0,61,2,1,3,6749,0,0,0,6483,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,41,4309,2,5,1965,0,17,0,30,0,23,0,6,14,142,266
13067,167,6,0,0,61,3,7,4,0,735,18,6,0,0,699,68698,1,92,0,9571,236,117,0,384,340,6590,102,8,5648,766149,31,43,13,693000,4025,209,19,6,6,0,0,36,0,228,22,25,2,0,66,9,16,0,857,1,2,38881,387625,89,1249,203840,417,1619,1200,4260,32,42810,140,3562,395,54070,73149
13069,8,3,0,0,0,0,0,0,0,20,0,0,0,0,25,2080,0,1,0,435,4,2,0,14,2,418,0,0,78,43092,0,0,0,40920,68,19,1,0,0,0,0,10,0,8,9,3,0,0,0,1,0,0,9,0,0,989,25437,0,22,11972,3,62,7,210,0,301,6,37,26,2974,2172
13071,8,0,0,0,5,0,0,0,0,17,0,2,1,0,51,2882,0,4,0,425,4,0,0,13,4,326,5,0,71,45898,4,1,0,42927,76,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,1883,27248,5,16,10068,3,43,9,400,6,388,0,50,15,4808,2971
