GEOID,amin_asian_nhpi_other_vap_20,white_black_amin_other_vap_20,black_asian_nhpi_other_vap_20,black_amin_nhpi_other_vap_20,white_black_amin_asian_nhpi_vap_20,white_black_asian_other_vap_20,black_asian_nhpi_vap_20,five_races_vap_20,white_black_asian_nhpi_vap_20,white_black_amin_asian_nhpi_other_vap_20,six_races_vap_20,two_or_more_races_vap_20,asian_vap_20,black_nhpi_vap_20,amin_vap_20,black_asian_vap_20,white_black_nhpi_vap_20,other_vap_20,nhpi_vap_20,black_other_vap_20,black_amin_nhpi_vap_20,white_nhpi_vap_20,three_races_vap_20,one_race_vap_20,white_black_amin_nhpi_vap_20,nhpi_other_vap_20,black_amin_asian_vap_20,total_vap_20,white_asian_vap_20,black_amin_vap_20,white_black_asian_vap_20,black_vap_20,white_black_amin_vap_20,black_amin_other_vap_20,white_vap_20,white_other_vap_20,black_amin_asian_nhpi_vap_20,asian_nhpi_other_vap_20,white_asian_nhpi_vap_20,two_races_vap_20,amin_other_vap_20,black_amin_asian_nhpi_other_vap_20,white_asian_nhpi_other_vap_20,amin_nhpi_other_vap_20,amin_nhpi_vap_20,white_amin_other_vap_20,white_black_amin_asian_vap_20,white_nhpi_other_vap_20,white_amin_vap_20,asian_other_vap_20,black_amin_asian_other_vap_20,four_races_vap_20,asian_nhpi_vap_20,white_asian_other_vap_20,white_black_vap_20,black_nhpi_other_vap_20,white_black_other_vap_20,white_black_amin_nhpi_other_vap_20,white_amin_asian_nhpi_vap_20,white_black_nhpi_other_vap_20,black_asian_other_vap_20,white_black_amin_asian_other_vap_20,amin_asian_vap_20,white_amin_asian_nhpi_other_vap_20,white_amin_nhpi_other_vap_20,amin_asian_other_vap_20,white_amin_nhpi_vap_20,white_amin_asian_vap_20,white_black_asian_nhpi_other_vap_20,white_amin_asian_other_vap_20,amin_asian_nhpi_vap_20
13291,0,0,0,0,0,0,0,0,0,0,0,856,99,0,75,0,1,183,0,1,0,11,25,19952,0,0,0,20808,35,3,0,109,0,0,19486,351,0,0,1,831,5,0,0,0,0,4,0,0,408,0,0,0,0,1,17,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13293,0,0,1,0,0,0,3,1,0,0,0,626,116,0,70,0,0,237,0,8,0,0,26,21085,0,0,0,21711,25,12,0,6035,13,5,14627,142,0,0,2,598,5,0,0,0,0,0,0,0,278,0,0,1,3,0,125,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
13295,0,1,0,0,0,0,3,0,0,2,2,2099,251,0,170,0,0,502,26,3,0,0,42,50695,0,0,0,52794,84,23,0,2173,18,2,47573,565,0,0,3,2054,5,0,0,0,1,4,0,4,1152,0,0,1,0,0,221,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13297,0,9,0,0,0,0,0,5,0,0,0,3316,1066,3,223,32,2,1632,31,125,2,16,100,69782,1,2,1,73098,189,75,0,12526,47,6,54304,1206,0,1,0,3201,5,4,0,0,2,14,0,0,1174,40,0,10,11,10,321,0,7,0,0,0,3,1,0,0,0,0,2,5,0,0,0
13299,0,5,0,0,0,0,0,3,0,0,0,890,252,0,82,5,0,553,15,17,0,0,35,26898,0,1,0,27788,27,34,0,7959,21,0,18037,294,0,0,0,847,2,0,0,0,0,3,0,0,287,4,0,5,0,0,175,0,6,0,0,0,1,0,1,0,0,0,0,4,3,0,0
13301,0,0,0,0,0,6,0,0,0,0,0,73,15,0,7,2,0,11,0,0,0,2,7,4086,1,0,0,4159,0,0,0,2319,1,0,1734,17,0,0,0,59,0,0,0,0,0,0,0,0,13,0,0,7,0,0,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303,0,0,0,0,0,0,0,0,0,0,0,303,55,2,33,0,0,111,0,21,0,0,26,15406,0,0,0,15709,6,5,0,8204,12,2,7003,65,0,0,0,277,0,0,0,1,0,4,0,0,86,0,0,0,0,2,85,0,2,0,0,0,0,0,7,0,0,0,0,2,0,0,1
13305,0,0,1,0,0,0,0,4,0,0,0,734,137,3,85,2,0,505,2,15,0,0,32,22371,3,0,0,23105,51,34,0,4501,16,2,17141,274,1,0,0,693,4,0,0,0,0,2,0,0,239,0,0,5,0,0,71,0,9,0,0,0,0,4,0,0,0,0,1,2,0,0,0
13307,0,0,0,0,0,0,0,0,2,0,0,68,10,0,3,3,0,10,3,0,1,5,13,1779,0,0,0,1847,3,2,0,818,7,0,935,11,0,0,0,53,0,0,0,0,0,2,0,0,21,0,0,2,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13309,0,0,0,0,0,0,0,0,0,0,0,97,11,0,23,0,0,90,0,6,1,0,11,6120,1,0,0,6217,3,2,0,2535,0,2,3461,15,0,0,6,84,0,0,0,0,0,0,1,0,47,0,0,2,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13311,0,0,0,0,0,0,0,2,0,0,0,1082,126,1,120,2,0,262,0,4,0,0,30,21400,0,0,0,22482,37,6,5,386,19,0,20506,324,0,0,0,1050,6,0,0,0,0,2,0,0,611,0,0,0,0,0,59,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0
13313,0,21,0,0,0,0,2,3,0,2,2,7955,1051,6,1300,2,0,11796,26,68,0,5,203,68307,0,9,0,76262,109,36,8,2870,36,0,51264,5888,0,0,1,7725,268,0,0,0,0,121,0,0,1042,16,1,22,8,5,265,0,29,1,0,0,0,2,3,0,0,0,0,1,0,0,0
13315,0,0,0,0,0,0,0,2,0,0,0,126,36,1,3,0,0,105,3,0,0,2,21,7092,0,0,2,7218,6,0,0,2671,10,0,4274,43,0,0,0,103,3,0,0,0,0,3,0,0,37,4,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
13317,0,1,0,0,0,0,0,0,0,0,0,239,49,0,24,0,0,112,1,2,0,0,11,7412,1,0,3,7651,3,15,0,3009,1,0,4217,85,0,0,0,220,0,0,0,0,0,3,1,0,76,0,0,8,1,2,38,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
13319,0,0,0,0,0,0,0,2,0,0,0,212,16,0,28,0,0,65,7,10,0,0,11,6814,0,0,7,7026,4,0,0,2489,4,0,4209,49,0,0,0,198,0,0,0,0,0,0,0,0,99,0,0,1,0,0,36,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
13321,0,4,0,0,0,0,0,5,0,0,0,412,64,0,48,0,2,108,7,4,0,0,21,16032,0,2,0,16444,27,26,0,3992,3,3,11813,102,0,0,0,382,0,0,0,0,0,5,0,0,155,0,0,4,0,0,66,0,3,0,0,0,0,5,0,0,0,0,3,2,0,0,0
