GEOID,total_pop_acs5_23,total_vap_acs5_23,white_vap_acs5_23,black_vap_acs5_23,amin_vap_acs5_23,asian_vap_acs5_23,nhpi_vap_acs5_23,other_vap_acs5_23,two_or_more_races_vap_acs5_23,non_hispanic_white_vap_acs5_23,hispanic_vap_acs5_23,total_cvap_acs5_23,white_cvap_acs5_23,black_cvap_acs5_23,amin_cvap_acs5_23,asian_cvap_acs5_23,nhpi_cvap_acs5_23,other_cvap_acs5_23,two_or_more_races_cvap_acs5_23,non_hispanic_white_cvap_acs5_23,hispanic_cvap_acs5_23
13277,41322.0,30947.0,18746.0,8854.0,202.0,319.0,1.0,933.0,1892.0,17783.0,3226.0,29284.0,18276.0,8847.0,152.0,125.0,1.0,546.0,1337.0,17719.0,1893.0
13279,26943.0,19819.0,13121.0,4396.0,105.0,196.0,0.0,729.0,1272.0,12256.0,1949.0,18643.0,12624.0,4396.0,105.0,70.0,0.0,323.0,1125.0,12166.0,1070.0
13281,12739.0,11144.0,10402.0,213.0,32.0,5.0,5.0,54.0,433.0,10343.0,333.0,11009.0,10341.0,213.0,32.0,5.0,5.0,34.0,379.0,10282.0,273.0
13283,6387.0,4902.0,3279.0,1391.0,5.0,0.0,0.0,2.0,225.0,3256.0,39.0,4853.0,3232.0,1391.0,5.0,0.0,0.0,0.0,225.0,3209.0,37.0
13285,69821.0,52667.0,30662.0,18312.0,64.0,1358.0,5.0,1182.0,1084.0,29993.0,1921.0,50970.0,30382.0,18241.0,64.0,734.0,5.0,465.0,1079.0,29876.0,1036.0
13287,8915.0,6646.0,3907.0,2354.0,13.0,0.0,0.0,203.0,169.0,3823.0,274.0,6508.0,3869.0,2308.0,13.0,0.0,0.0,151.0,167.0,3822.0,185.0
13289,7869.0,6375.0,3610.0,2476.0,27.0,40.0,0.0,65.0,157.0,3573.0,61.0,6324.0,3602.0,2476.0,27.0,21.0,0.0,41.0,157.0,3573.0,29.0
13291,25598.0,21678.0,20397.0,224.0,49.0,39.0,0.0,261.0,708.0,20245.0,686.0,21306.0,20309.0,224.0,15.0,28.0,0.0,77.0,653.0,20175.0,402.0
13293,27856.0,21430.0,14830.0,5648.0,16.0,87.0,18.0,224.0,607.0,14654.0,485.0,21137.0,14775.0,5648.0,16.0,87.0,18.0,46.0,547.0,14624.0,222.0
13295,68449.0,53801.0,48998.0,2476.0,94.0,397.0,14.0,411.0,1411.0,48650.0,1232.0,53361.0,48915.0,2476.0,91.0,192.0,14.0,273.0,1400.0,48567.0,1083.0
13297,100361.0,76105.0,56790.0,14359.0,125.0,1060.0,35.0,1396.0,2340.0,55159.0,3793.0,74023.0,56081.0,13911.0,82.0,808.0,33.0,839.0,2269.0,54755.0,2818.0
13299,35958.0,27007.0,17690.0,7837.0,111.0,328.0,11.0,280.0,750.0,17545.0,1011.0,26397.0,17627.0,7800.0,89.0,151.0,11.0,192.0,527.0,17482.0,678.0
13301,5175.0,4128.0,1738.0,2289.0,0.0,17.0,0.0,0.0,84.0,1707.0,57.0,4122.0,1736.0,2289.0,0.0,13.0,0.0,0.0,84.0,1705.0,57.0
13303,19893.0,15598.0,6909.0,8176.0,41.0,78.0,0.0,131.0,263.0,6814.0,291.0,15462.0,6876.0,8152.0,38.0,68.0,0.0,65.0,263.0,6814.0,189.0
13305,30519.0,23093.0,17125.0,4455.0,23.0,166.0,0.0,639.0,685.0,16742.0,1290.0,22615.0,16968.0,4408.0,23.0,48.0,0.0,525.0,643.0,16702.0,978.0
13307,2348.0,2020.0,1016.0,910.0,0.0,0.0,0.0,0.0,94.0,912.0,143.0,1915.0,950.0,910.0,0.0,0.0,0.0,0.0,55.0,912.0,38.0
13309,7434.0,6255.0,3589.0,2502.0,10.0,0.0,0.0,78.0,76.0,3457.0,245.0,6228.0,3574.0,2502.0,9.0,0.0,0.0,68.0,75.0,3450.0,225.0
13311,28454.0,22964.0,21094.0,562.0,35.0,188.0,0.0,382.0,703.0,20938.0,645.0,22813.0,21030.0,562.0,35.0,180.0,0.0,372.0,634.0,20921.0,519.0
13313,103118.0,77067.0,55568.0,2933.0,1131.0,1131.0,11.0,9668.0,6625.0,46921.0,24956.0,66575.0,52012.0,2890.0,575.0,654.0,11.0,5782.0,4651.0,46800.0,15105.0
13315,8784.0,7144.0,4384.0,2509.0,4.0,0.0,1.0,74.0,172.0,4223.0,246.0,6943.0,4218.0,2503.0,4.0,0.0,1.0,54.0,163.0,4206.0,72.0
13317,9553.0,7584.0,4147.0,2999.0,21.0,0.0,0.0,173.0,244.0,4120.0,346.0,7393.0,4123.0,2999.0,21.0,0.0,0.0,42.0,208.0,4096.0,179.0
13319,8795.0,6892.0,3912.0,2569.0,1.0,1.0,0.0,220.0,189.0,3901.0,255.0,6787.0,3906.0,2564.0,1.0,1.0,0.0,137.0,178.0,3895.0,172.0
13321,20575.0,15990.0,11186.0,3790.0,107.0,114.0,2.0,94.0,697.0,11019.0,274.0,15914.0,11148.0,3790.0,98.0,99.0,2.0,80.0,697.0,11019.0,213.0
