GEOID,total_vap_est_male_acs5_23,total_vap_est_female_acs5_23,white_vap_est_male_acs5_23,white_vap_est_female_acs5_23,black_vap_est_male_acs5_23,black_vap_est_female_acs5_23,amin_vap_est_male_acs5_23,amin_vap_est_female_acs5_23,asian_vap_est_male_acs5_23,asian_vap_est_female_acs5_23,nhpi_vap_est_male_acs5_23,nhpi_vap_est_female_acs5_23,other_vap_est_male_acs5_23,other_vap_est_female_acs5_23,two_or_more_races_vap_est_male_acs5_23,two_or_more_races_vap_est_female_acs5_23,non_hispanic_white_vap_est_male_acs5_23,non_hispanic_white_vap_est_female_acs5_23,hispanic_vap_est_male_acs5_23,hispanic_vap_est_female_acs5_23
13097,50673.0,58072.0,20229.0,22323.0,23862.0,29028.0,192.0,138.0,843.0,1169.0,18.0,0.0,2519.0,2083.0,3010.0,3331.0,18810.0,20536.0,5352.0,5388.0
13099,3665.0,4401.0,1798.0,1991.0,1663.0,2296.0,0.0,6.0,0.0,31.0,0.0,0.0,67.0,33.0,137.0,44.0,1798.0,1991.0,114.0,58.0
13101,1279.0,1392.0,835.0,1015.0,90.0,62.0,6.0,0.0,36.0,49.0,0.0,0.0,126.0,91.0,186.0,175.0,737.0,927.0,345.0,307.0
13103,24148.0,25206.0,19053.0,19465.0,3405.0,3755.0,31.0,66.0,158.0,281.0,0.0,84.0,345.0,504.0,1156.0,1051.0,18389.0,18919.0,1316.0,1295.0
13105,7196.0,8193.0,4909.0,5366.0,1663.0,2164.0,99.0,39.0,118.0,84.0,0.0,0.0,67.0,87.0,340.0,453.0,4815.0,5254.0,282.0,391.0
13107,8629.0,8582.0,5203.0,5361.0,2694.0,2669.0,35.0,18.0,75.0,63.0,0.0,0.0,165.0,91.0,457.0,380.0,5118.0,5308.0,383.0,255.0
13109,3755.0,4230.0,2200.0,2493.0,1003.0,1175.0,33.0,0.0,14.0,58.0,0.0,0.0,180.0,207.0,325.0,297.0,2196.0,2493.0,341.0,391.0
13111,10524.0,11015.0,9802.0,10383.0,124.0,31.0,13.0,25.0,56.0,30.0,0.0,0.0,101.0,166.0,428.0,380.0,9752.0,10279.0,282.0,245.0
13113,44497.0,48684.0,27440.0,29345.0,10858.0,12679.0,38.0,121.0,2069.0,2310.0,20.0,99.0,1799.0,1369.0,2273.0,2761.0,26573.0,28530.0,3243.0,3491.0
13115,36704.0,39687.0,27421.0,30359.0,4471.0,5448.0,201.0,115.0,497.0,654.0,89.0,13.0,1498.0,1345.0,2527.0,1753.0,26281.0,29407.0,4221.0,3328.0
13117,95188.0,96687.0,64776.0,67266.0,3751.0,4028.0,510.0,247.0,16115.0,15795.0,0.0,0.0,2731.0,2519.0,7305.0,6832.0,62871.0,65096.0,8998.0,8548.0
13119,9080.0,9472.0,7658.0,8094.0,676.0,834.0,16.0,15.0,138.0,135.0,0.0,0.0,130.0,138.0,462.0,256.0,7568.0,7983.0,446.0,318.0
13121,405196.0,437709.0,178550.0,172656.0,156553.0,197497.0,864.0,889.0,33444.0,32167.0,177.0,122.0,11904.0,11273.0,23704.0,23105.0,170470.0,165145.0,31345.0,28900.0
13123,13097.0,12935.0,11507.0,11855.0,119.0,76.0,167.0,76.0,17.0,109.0,0.0,0.0,510.0,266.0,777.0,553.0,11319.0,11568.0,1362.0,957.0
13125,1036.0,1251.0,978.0,1023.0,54.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,978.0,1023.0,0.0,14.0
13127,30835.0,36243.0,21068.0,24366.0,7063.0,8981.0,80.0,86.0,332.0,452.0,64.0,0.0,984.0,679.0,1244.0,1679.0,20505.0,23660.0,2049.0,1998.0
13129,21855.0,22859.0,17891.0,19348.0,992.0,851.0,545.0,203.0,243.0,268.0,68.0,37.0,1024.0,808.0,1092.0,1344.0,16991.0,18323.0,3301.0,2922.0
13131,9318.0,10287.0,5947.0,6555.0,2626.0,3121.0,45.0,17.0,8.0,11.0,0.0,0.0,437.0,287.0,255.0,296.0,5705.0,6172.0,897.0,935.0
